Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
,,,,,,,,07:15:00,08:15:00,1624,J,32Q,1234567,IXE,541,6E
,,,,,,,,07:20:00,08:40:00,928,J,32Q, 23 5 7,TRV,688,6E
,,,,,,,,07:20:00,09:50:00,1116,J,32N,12 4567,LKO,6353,6E
,,,,,,,,07:20:00,08:40:00,696,J,32Q,1  4 6 ,TRV,688,6E
AI,2653,DEL,1234567,32N,J,1148,04:30:00,07:20:00,,,,,,,,
,,,,,,,,07:25:00,09:10:00,1540,J,32Q,1234567,BOM,5216,6E
6E,6438,CCU,6,32Q,J,232,04:50:00,07:25:00,,,,,,,,
6E,6438,CCU,3,32Q,J,232,04:50:00,07:25:00,,,,,,,,
6E,6438,CCU,7,32Q,J,232,04:50:00,07:25:00,,,,,,,,
6E,6438,CCU,1,32Q,J,232,04:50:00,07:25:00,,,,,,,,
6E,6438,CCU, 2 4  7,32Q,J,464,04:50:00,07:25:00,,,,,,,,
IX,2706,PNQ,  3 5 7,320,J,540,05:40:00,07:25:00,,,,,,,,
6E,6438,CCU,5,32Q,J,232,04:50:00,07:25:00,,,,,,,,
,,,,,,,,07:25:00,10:00:00,1295,J,7M8,1234567,VNS,1421,QP
IX,864,DMM,3,7M8,J,189,00:10:00,07:30:00,,,,,,,,
,,,,,,,,07:30:00,09:35:00,1302,J,32N,1234567,BBI,702,6E
,,,,,,,,07:30:00,09:25:00,1624,J,32Q,1234567,IDR,959,6E
IX,926,KWI, 23  6 ,32N,J,558,23:55:00,07:30:00,,,,,,,,
,,,,,,,,07:30:00,08:50:00,152,J,E75,    5 7,KLH,194,S5
IX,864,DMM,1 3 5 7,32N,J,558,00:10:00,07:30:00,,,,,,,,
AI,2845,BOM, 2    7,321,J,376,05:30:00,07:35:00,,,,,,,,
AI,2845,BOM,1  4 6 ,321,J,564,05:30:00,07:35:00,,,,,,,,
AI,2845,BOM,  3 5  ,321,J,376,05:30:00,07:35:00,,,,,,,,
,,,,,,,,07:35:00,10:20:00,1302,J,32N,1234567,GOP,6302,6E
,,,,,,,,07:40:00,09:25:00,1624,J,32Q,1234567,RPR,405,6E
,,,,,,,,07:40:00,14:00:00,558,J,32N,  3 5 7,LGK,1043,6E
IX,5305,TRZ,1 3 5  ,738,J,558,06:30:00,07:40:00,,,,,,,,
6E,1006,SIN,1234567,32N,J,1302,05:40:00,07:40:00,,,,,,,,
,,,,,,,,07:45:00,10:50:00,696,J,32Q,1  4 6 ,ATQ,6288,6E
,,,,,,,,07:45:00,10:50:00,928,J,32Q, 23 5 7,ATQ,6288,6E
6E,413,HYD,2,32N,J,186,06:30:00,07:50:00,,,,,,,,
,,,,,,,,07:50:00,09:00:00,380,J,E75,1234 6 ,GOX,181,S5
6E,413,HYD,6,32N,J,186,06:30:00,07:50:00,,,,,,,,
6E,413,HYD,5,32N,J,186,06:30:00,07:50:00,,,,,,,,
6E,413,HYD,7,32N,J,186,06:30:00,07:50:00,,,,,,,,
6E,413,HYD,3,32N,J,186,06:30:00,07:50:00,,,,,,,,
6E,413,HYD,4,32N,J,186,06:30:00,07:50:00,,,,,,,,
6E,413,HYD,1,32N,J,186,06:30:00,07:50:00,,,,,,,,
IX,2934,HYD,5,738,J,189,06:20:00,07:55:00,,,,,,,,
IX,1475,CCJ,1234 67,738,J,1134,06:45:00,07:55:00,,,,,,,,
IX,2934,HYD,12 4 6 ,7M8,J,712,06:20:00,07:55:00,,,,,,,,
IX,1467,AMD,1234567,32N,J,1302,05:30:00,07:55:00,,,,,,,,
IX,1475,CCJ,5,7M8,J,178,06:45:00,07:55:00,,,,,,,,
,,,,,,,,07:55:00,10:30:00,534,J,7M8,1   5 7,RUH,895,IX
,,,,,,,,08:00:00,14:15:00,1806,J,789,1234567,LHR,317,VS
,,,,,,,,08:00:00,09:45:00,1295,J,7M8,1234567,BOM,1517,QP
,,,,,,,,08:00:00,09:00:00,546,J,AT7,1234567,CJB,7573,6E
,,,,,,,,08:00:00,09:45:00,185,J,7M8,6,PNQ,1565,QP
,,,,,,,,08:00:00,10:55:00,1148,J,32N,1234567,DEL,2808,AI
IX,1347,NMI,7,7M8,J,176,06:20:00,08:00:00,,,,,,,,
IX,1347,NMI,123456,7M8,J,1056,06:20:00,08:00:00,,,,,,,,
6E,6081,MAA,6,32N,J,186,07:05:00,08:05:00,,,,,,,,
SG,672,MAA,1234567,73H,J,1323,07:05:00,08:05:00,,,,,,,,
6E,6081,MAA,12345 7,32N,J,1116,07:05:00,08:05:00,,,,,,,,
,,,,,,,,08:05:00,09:45:00,1554,J,32Q,1234567,NAG,6863,6E
,,,,,,,,08:05:00,09:25:00,312,J,AT7,1 3 5 7,COK,7005,6E
ET,690,ADD,1 3 5  ,7M8,J,480,23:05:00,08:10:00,,,,,,,,
,,,,,,,,08:10:00,10:25:00,1302,J,32N,1234567,DXB,1485,6E
,,,,,,,,08:10:00,10:35:00,1624,J,32Q,1234567,CCU,442,6E
IX,2780,BBI,1234567,7M8,J,1232,06:00:00,08:10:00,,,,,,,,
,,,,,,,,08:15:00,09:30:00,1302,J,32N,1234567,HYD,484,6E
IX,1383,GOI,1  4 6 ,320,J,540,07:00:00,08:15:00,,,,,,,,
,,,,,,,,08:15:00,11:05:00,1540,J,32Q,1234567,DEL,849,6E
,,,,,,,,08:15:00,11:00:00,1624,J,32Q,1234567,IXB,443,6E
,,,,,,,,08:20:00,10:20:00,1316,J,321,1234567,BOM,2846,AI
,,,,,,,,08:20:00,10:35:00,1295,J,7M8,1234567,AMD,1902,QP
6E,6482,COK,1234567,32N,J,1302,07:05:00,08:20:00,,,,,,,,
IX,2980,TRV,1   5 7,7M8,J,567,07:05:00,08:25:00,,,,,,,,
6E,5296,BOM,1  4 6 ,32Q,J,660,06:30:00,08:25:00,,,,,,,,
IX,1692,COK,1234567,7M8,J,1232,07:10:00,08:25:00,,,,,,,,
IX,2980,TRV,4,738,J,186,07:05:00,08:25:00,,,,,,,,
6E,5296,BOM, 23 5 7,32Q,J,880,06:30:00,08:25:00,,,,,,,,
IX,2980,TRV,2,738,J,186,07:05:00,08:25:00,,,,,,,,
IX,2980,TRV,  3  67,738,J,378,07:05:00,08:25:00,,,,,,,,
,,,,,,,,08:25:00,11:00:00,1302,J,32N,1234567,PAT,6801,6E
,,,,,,,,08:25:00,09:50:00,1302,J,32N,1234567,HYD,2935,IX
,,,,,,,,08:30:00,10:20:00,1302,J,32N,1234567,NAG,2097,IX
6E,391,PNQ,1234567,32Q,J,1624,06:40:00,08:30:00,,,,,,,,
,,,,,,,,08:30:00,10:15:00,1540,J,32Q,1234567,BOM,5051,6E
AI,2603,BOM,1234567,32N,J,1148,06:35:00,08:35:00,,,,,,,,
,,,,,,,,08:35:00,10:45:00,1624,J,32Q,1234567,AMD,6545,6E
6E,249,GOI,6,32N,J,186,07:15:00,08:35:00,,,,,,,,
6E,2085,NMI,1234567,32N,J,1302,07:10:00,08:35:00,,,,,,,,
IX,2786,MAA,1234567,7M8,J,1232,07:25:00,08:35:00,,,,,,,,
6E,2314,DEL, 2  5 7,32Q,J,660,05:45:00,08:40:00,,,,,,,,
6E,373,JAI,1234567,32Q,J,1160,06:10:00,08:40:00,,,,,,,,
6E,2314,DEL,1 34 6 ,32Q,J,880,05:45:00,08:40:00,,,,,,,,
,,,,,,,,08:40:00,09:50:00,1232,J,7M8,1234567,MAA,2926,IX
6E,373,JAI,1234567,32Q,J,464,06:25:00,08:40:00,,,,,,,,
,,,,,,,,08:40:00,09:55:00,180,J,320,7,COK,1893,IX
,,,,,,,,08:40:00,09:55:00,186,J,738,3,COK,1893,IX
,,,,,,,,08:40:00,09:55:00,890,J,7M8,12 456 ,COK,1893,IX
,,,,,,,,08:40:00,10:50:00,1302,J,32N,1234567,AMD,2013,IX
,,,,,,,,08:45:00,11:30:00,1323,J,73H,1234567,PAT,672,SG
,,,,,,,,08:45:00,10:15:00,528,J,E75,123456,NDC,183,S5
6E,153,CCJ,1234567,32N,J,1302,07:45:00,08:45:00,,,,,,,,
IX,942,JED,1,7M8,J,189,00:10:00,08:50:00,,,,,,,,
EK,564,DXB,567,77W,J,1080,03:20:00,08:50:00,,,,,,,,
QP,2001,NMI,1234567,7M8,J,1295,07:20:00,08:50:00,,,,,,,,
