Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
"AI","2361","MNL","1234567","321","J","1316","22:55:00","03:10:00","","","","","","","",""
"EY","218","AUH","1234567","77W","J","2814","22:00:00","03:10:00","","","","","","","",""
"AI","2758","BLR","123 567","32N","J","984","00:15:00","03:10:00","","","","","","","",""
"AI","2758","BLR","   4   ","32N","J","164","00:15:00","03:10:00","","","","","","","",""
"FZ","441","DXB","1 34 67","73H","J","830","22:10:00","03:10:00","","","","","","","",""
"SG","106","PNQ","1234567","73G","J","1043","00:55:00","03:15:00","","","","","","","",""
"","","","","","","","","03:15:00","05:30:00","1260","J","320","1234567","SHJ","135","IX"
"IX","2762","GOX","1234567","320","J","1624","00:35:00","03:20:00","","","","","","","",""
"SU","232","SVO","1234567","333","J","2072","18:40:00","03:20:00","","","","","","","",""
"AI","2422","BOM","   4   ","32N","J","164","01:00:00","03:20:00","","","","","","","",""
"","","","","","","","","03:20:00","09:15:00","156","J","320","1234567","BKK","332","TG"
"AI","2422","BOM","123 567","32N","J","984","01:00:00","03:20:00","","","","","","","",""
"","","","","","","","","03:20:00","09:15:00","1050","J","32Q","1234567","BKK","332","TG"
"","","","","","","","","03:25:00","07:00:00","1050","J","320","1234567","CMB","277","AI"
"XY","329","RUH","1234567","32N","J","1190","20:40:00","03:25:00","","","","","","","",""
"","","","","","","","","03:35:00","12:10:00","1316","J","321","1234567","SIN","2115","AI"
"IX","1258","PNQ","1234567","320","J","1624","01:20:00","03:40:00","","","","","","","",""
"AI","112","LHR","1    67","789","J","598","13:15:00","03:40:00","","","","","","","",""
"AI","112","LHR"," 234   ","789","J","897","13:15:00","03:40:00","","","","","","","",""
"AI","309","MEL","1234567","788","J","1813","19:35:00","03:50:00","","","","","","","",""
"6E","839","BLR","  3 5 7","32Q","J","660","01:00:00","03:50:00","","","","","","","",""
"6E","839","BLR","12 4 6 ","32Q","J","880","01:00:00","03:50:00","","","","","","","",""
"G9","463","SHJ","1234567","320","J","1190","22:50:00","03:50:00","","","","","","","",""
"","","","","","","","","03:55:00","09:30:00","636","J","781","     67","AMS","0872","KL"
"SG","12","DXB","1234567","73H","J","1323","22:45:00","03:55:00","","","","","","","",""
"","","","","","","","","03:55:00","09:30:00","1590","J","781","12345  ","AMS","0872","KL"
"6E","2418","PNQ","1234567","32Q","J","1624","01:45:00","04:00:00","","","","","","","",""
"","","","","","","","","04:00:00","07:35:00","2415","J","77W","1234567","YVR","185","AI"
"6E","34","MAN","  3 5 7","789","J","1014","12:55:00","04:00:00","","","","","","","",""
"6E","1464","DXB","1234567","32Q","J","1540","22:20:00","04:00:00","","","","","","","",""
"GF","130","BAH","1 3    ","32Q","J","192","21:25:00","04:05:00","","","","","","","",""
"GF","130","BAH"," 2 4567","32Q","J","664","21:25:00","04:05:00","","","","","","","",""
"","","","","","","","","04:10:00","06:25:00","830","J","73H","1 34 67","DXB","442","FZ"
"J2","0057","GYD","1234567","320","J","1092","22:35:00","04:10:00","","","","","","","",""
"UL","191","CMB","1234567","320","J","952","00:40:00","04:15:00","","","","","","","",""
"","","","","","","","","04:15:00","06:10:00","1190","J","32N","1234567","RUH","330","XY"
"","","","","","","","","04:20:00","08:20:00","259","J","788","1      ","TLV","4139","AI"
"","","","","","","","","04:20:00","08:15:00","259","J","788"," 2     ","TLV","139","AI"
"AI","112","LHR","    5  ","789","J","299","14:00:00","04:25:00","","","","","","","",""
"AI","301","SYD","1234567","788","J","1813","20:00:00","04:25:00","","","","","","","",""
